iter	Passed	Remaining
779	81578	23009
780	81686	22905
781	81789	22800
782	81889	22694
783	81992	22589
784	82096	22484
785	82200	22380
786	82302	22275
787	82403	22169
788	82505	22064
789	82612	21960
790	82718	21856
791	82824	21751
792	82925	21646
793	83031	21542
794	83136	21437
795	83241	21333
796	83345	21228
797	83445	21122
798	83551	21018
799	83656	20914
800	83760	20809
801	83865	20704
802	83966	20599
803	84070	20494
804	84176	20390
805	84277	20285
806	84381	20180
807	84486	20076
808	84593	19971
809	84693	19866
810	84798	19762
811	84902	19657
812	85007	19552
813	85109	19447
814	85210	19342
815	85316	19238
816	85420	19133
817	85521	19028
818	85623	18922
819	85727	18818
820	85831	18713
821	85934	18608
822	86041	18504
823	86145	18399
824	86249	18295
825	86353	18190
826	86458	18086
827	86564	17981
828	86665	17876
829	86769	17771
830	86869	17666
831	86975	17562
832	87087	17459
833	87200	17356
834	87304	17251
835	87414	17148
836	87515	17042
837	87615	16937
838	87721	16833
839	87827	16729
840	87929	16624
841	88032	16519
842	88135	16414
843	88240	16309
844	88343	16205
845	88447	16100
846	88551	15995
847	88656	15891
848	88767	15787
849	88876	15684
850	88982	15579
851	89083	15474
852	89184	15369
853	89287	15264
854	89389	15159
855	89496	15055
856	89599	14950
857	89702	14845
858	89808	14741
859	89918	14637
860	90021	14533
861	90121	14427
862	90228	14323
863	90330	14218
864	90434	14114
865	90539	14009
866	90646	13905
867	90752	13801
868	90861	13697
869	90969	13593
870	91071	13488
871	91171	13382
872	91276	13278
873	91378	13173
874	91482	13068
875	91587	12964
876	91691	12859
877	91795	12755
878	91896	12650
879	92001	12545
880	92104	12440
881	92208	12336
882	92307	12230
883	92407	12125
884	92510	12021
885	92615	11916
886	92716	11811
887	92824	11707
888	92927	11602
889	93032	11498
890	93136	11393
891	93241	11289
892	93344	11184
893	93453	11080
894	93559	10976
895	93662	10871
896	93767	10767
897	93872	10662
898	93975	10557
899	94079	10453
900	94182	10348
901	94286	10243
902	94406	10141
903	94515	10037
904	94623	9932
905	94732	9828
906	94837	9724
907	94942	9619
908	95050	9515
909	95160	9411
910	95265	9306
911	95371	9202
912	95478	9098
913	95580	8993
914	95681	8888
915	95783	8783
916	95885	8678
917	95990	8574
918	96097	8469
919	96200	8365
920	96303	8260
921	96406	8155
922	96508	8051
923	96613	7946
924	96718	7842
925	96822	7737
926	96927	7632
927	97027	7528
928	97132	7423
929	97235	7318
930	97337	7214
931	97443	7109
932	97551	7005
933	97659	6900
934	97762	6796
935	97865	6691
936	97969	6587
937	98071	6482
938	98177	6377
939	98280	6273
940	98389	6168
941	98493	6064
942	98600	5959
943	98705	5855
944	98807	5750
945	98911	5646
946	99014	5541
947	99119	5436
948	99221	5332
949	99324	5227
950	99432	5123
951	99537	5018
952	99637	4913
953	99741	4809
954	99848	4704
955	99955	4600
956	100058	4495
957	100162	4391
958	100269	4286
959	100371	4182
960	100477	4077
961	100581	3973
962	100686	3868
963	100790	3763
964	100895	3659
965	101001	3554
966	101106	3450
967	101220	3346
968	101321	3241
969	101425	3136
970	101530	3032
971	101637	2927
972	101745	2823
973	101849	2718
974	101953	2614
975	102058	2509
976	102166	2405
977	102271	2300
978	102377	2196
979	102483	2091
980	102590	1986
981	102694	1882
982	102795	1777
983	102906	1673
984	103012	1568
985	103114	1464
986	103216	1359
987	103324	1254
988	103427	1150
989	103528	1045
990	103632	941
991	103739	836
992	103842	732
993	103947	627
994	104052	522
995	104154	418
996	104256	313
997	104360	209
998	104464	104
999	104568	0
